hours_since_cooking,initial_hours_at_room_temp,storage_location,cooling_method,observed_smell,observed_appearance,Spoilage_Index
39,39,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
63,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
81,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
62,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
48,48,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
8,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
7,7,Room Temperature,Not Applicable,Normal,Dull/Dry,2
71,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
1,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,52,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
14,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
33,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
60,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
75,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
77,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
69,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
96,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
83,83,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
78,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
12,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
51,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,70,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
32,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
61,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
94,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
82,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
86,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
50,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
54,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
38,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
32,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
72,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
26,26,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
86,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
88,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
18,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
95,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
30,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
31,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
32,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
19,19,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
51,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
1,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
47,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
43,5,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
36,36,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
64,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
31,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
5,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
26,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
46,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
71,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
77,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
65,65,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
66,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
87,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
94,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
89,89,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
45,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
59,59,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
51,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
50,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
23,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
7,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
11,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
19,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
2,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
2,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
84,84,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
61,61,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
32,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
45,45,Room Temperature,Not Applicable,Normal,Dull/Dry,2
66,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
16,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
22,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
80,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
41,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
76,76,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
77,77,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
52,52,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
42,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
10,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
52,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
13,13,Room Temperature,Not Applicable,Normal,Dull/Dry,2
45,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
1,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
1,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
67,67,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
46,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
27,27,Room Temperature,Not Applicable,Normal,Dull/Dry,2
28,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
18,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
77,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
40,40,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
27,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
61,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
32,32,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
27,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
72,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
73,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
84,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
57,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
85,85,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
62,62,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
13,13,Room Temperature,Not Applicable,Normal,Dull/Dry,2
67,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
30,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
52,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
4,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
19,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
91,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
60,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
11,11,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
80,80,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
72,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
59,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
15,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
34,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
82,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
93,93,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
71,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
85,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
91,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
59,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
16,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
59,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
90,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
81,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
14,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
62,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
7,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
10,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
40,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
46,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
53,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
43,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
49,49,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
46,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
54,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
91,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
79,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
76,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
87,87,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
55,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
74,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
10,10,Room Temperature,Not Applicable,Normal,Dull/Dry,2
22,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
73,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
79,79,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
47,47,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
51,51,Room Temperature,Not Applicable,Normal,Dull/Dry,2
56,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
53,5,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
76,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
36,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
53,53,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
32,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
58,58,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
74,74,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
19,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
6,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
86,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
31,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
12,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
9,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
71,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
58,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
18,18,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
39,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
35,35,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
61,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
71,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
53,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
72,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
2,2,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
71,71,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
31,31,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
4,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
56,56,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
70,70,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
69,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
91,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
6,6,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
32,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
30,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
72,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
92,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
1,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
16,16,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
40,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
47,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
38,38,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
67,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
37,37,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
18,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
89,89,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
59,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
8,8,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
40,40,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
29,29,Room Temperature,Not Applicable,Normal,Dull/Dry,2
71,71,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
5,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
18,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
71,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
68,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
49,49,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
13,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
25,25,Room Temperature,Not Applicable,Normal,Dull/Dry,2
17,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
23,23,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
63,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
8,8,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
19,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
30,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
53,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
14,14,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
18,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
7,7,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
4,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
58,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
39,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
54,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
22,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
62,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
20,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
31,31,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
21,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
7,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
44,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
50,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
86,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
86,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
67,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
8,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
33,33,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
54,54,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
12,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
49,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
13,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
25,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
68,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
56,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
6,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
49,49,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
46,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
48,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
18,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
71,71,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
66,66,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
26,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
60,60,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
57,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
40,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
77,5,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
19,19,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
68,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
87,87,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
11,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
70,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
88,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
61,61,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
89,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
31,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
55,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
27,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
93,93,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
6,6,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
64,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
15,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
40,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
60,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
76,76,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
86,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
40,40,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
21,21,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
90,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
21,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
47,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
28,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
39,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
6,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
39,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
12,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
60,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
53,53,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
1,1,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
57,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
33,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
